frame.number,frame.time_relative,frame.len,frame.time_delta,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,icmp.type,icmp.seq,mqtt.msgtype,label
17,0.000259,162,4.7e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2048.0,5.0,1
18,0.000271,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2048.0,5.0,1
19,0.00028,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2304.0,5.0,1
20,0.00029,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2304.0,5.0,1
21,0.000299,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2560.0,5.0,1
22,0.00031,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2560.0,5.0,1
23,0.000319,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2816.0,5.0,1
24,0.000349,162,3e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2816.0,5.0,1
25,0.000358,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3072.0,5.0,1
26,0.000368,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3072.0,5.0,1
27,0.000376,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3328.0,5.0,1
28,0.000388,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3328.0,5.0,1
29,0.000396,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3584.0,5.0,1
30,0.000408,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3584.0,5.0,1
31,0.000415,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3840.0,5.0,1
32,0.000427,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3840.0,5.0,1
33,0.000466,162,3.9e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,4096.0,5.0,1
34,0.000477,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,4096.0,5.0,1
35,0.000487,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,64256.0,5.0,1
36,0.000497,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,64256.0,5.0,1
37,0.000506,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,64512.0,5.0,1
38,0.000516,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,64512.0,5.0,1
39,0.000525,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,64768.0,5.0,1
40,0.000536,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,64768.0,5.0,1
41,0.000542,162,6e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,65024.0,5.0,1
42,0.000552,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,65024.0,5.0,1
43,0.003642,162,0.00309,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,65280.0,5.0,1
44,0.003686,162,4.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,65280.0,5.0,1
45,0.003717,162,3.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1.0,5.0,1
46,0.003732,162,1.5e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1.0,5.0,1
47,0.003742,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,257.0,5.0,1
48,0.003754,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,257.0,5.0,1
49,0.003764,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,513.0,5.0,1
50,0.003774,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,513.0,5.0,1
51,0.003782,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,769.0,5.0,1
52,0.003792,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,769.0,5.0,1
53,0.003799,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1025.0,5.0,1
54,0.003809,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1025.0,5.0,1
55,0.003815,162,6e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1281.0,5.0,1
56,0.003825,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1281.0,5.0,1
57,0.003834,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1537.0,5.0,1
58,0.003844,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1537.0,5.0,1
59,0.003902,162,5.8e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,1793.0,5.0,1
60,0.003921,162,1.9e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,1793.0,5.0,1
61,0.003939,162,1.8e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2049.0,5.0,1
62,0.003958,162,1.9e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2049.0,5.0,1
63,0.003972,162,1.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2305.0,5.0,1
64,0.003986,162,1.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2305.0,5.0,1
65,0.003995,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2561.0,5.0,1
66,0.004005,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2561.0,5.0,1
67,0.004012,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,2817.0,5.0,1
68,0.004022,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,2817.0,5.0,1
69,0.004029,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3073.0,5.0,1
70,0.004039,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3073.0,5.0,1
71,0.004046,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3329.0,5.0,1
72,0.004057,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3329.0,5.0,1
73,0.004063,162,6e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3585.0,5.0,1
74,0.004073,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3585.0,5.0,1
75,0.004107,162,3.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,3841.0,5.0,1
76,0.004119,162,1.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,3841.0,5.0,1
77,0.004128,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,4097.0,5.0,1
78,0.004139,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,4097.0,5.0,1
79,0.004147,162,8e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,4353.0,5.0,1
80,0.004158,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,4353.0,5.0,1
81,0.02865,162,0.024492,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,4865.0,5.0,1
82,0.028695,162,4.5e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,4865.0,5.0,1
83,0.028727,162,3.2e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,5121.0,5.0,1
84,0.028741,162,1.4e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,5121.0,5.0,1
85,0.02875,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,5377.0,5.0,1
86,0.028761,162,1.1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,5377.0,5.0,1
87,0.028768,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,5633.0,5.0,1
88,0.028777,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,5633.0,5.0,1
89,0.028784,162,7e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,5889.0,5.0,1
90,0.028794,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,5889.0,5.0,1
91,0.028803,162,9e-06,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,8.0,6145.0,5.0,1
92,0.028813,162,1e-05,1.0,19596.20633333333,10694.421583333333,46949.26733333334,56.53333333333333,0x0002,0.0,6145.0,5.0,1
